Agency,Budget year,est_completion,est_expenditure,est_rem,Fixed notes,Project,Project type,Sector,TEI
Department of Health,2021,qtr 3 2023-24,173000000,319000000,The project's cashflow has been revised in line with a revised project schedule.,A pathway to more acute mental health beds: Responding to the Royal Commission into the Victoria's Mental Health System interim report (statewide),Existing,Health and human services,492000000
Department of Health,2021,qtr 4 2022-23,206000000,24000000,The project's cashflow has been revised in line with a revised project schedule.,Goulburn Valley Health redevelopment - planning and development (Shepparton),Existing,Health and human services,229000000
Department of Health,2021,qtr 4 2023-24,224000000,26000000,The project's name has changed from Regional Health Infrastructure Fund 2018-19 (regional various) published in the 2021-22 Budget. The project's cashflow and estimated completion date have been revised in line with a revised project schedule due to COVID-19 impacts.,Regional Health Infrastructure Fund (regional various),Existing,Health and human services,250000000
Department of Health,2021,qtr 4 2021-22,310000000,8000000,The TEI has increased by $11.100 million due to scope increases and market conditions. The project's cashflow has been revised in line with a revised project due to COVID-19 impacts.,Royal Victorian Eye and Ear Hospital redevelopment (Melbourne),Existing,Health and human services,318000000
Department of Health,2021,qtr 2 2023-24,474000000,103000000,The TEI has increased by $13.000 million with funding sourced from the Metropolitan Health Infrastructure Fund for the inclusion of a helipad. The project's cashflow has been revised in line with a revised project schedule.,Victorian Heart Hospital (Clayton),Existing,Health and human services,577000000
Department of Health,2021,qtr 1 2025-26,503000000,1496000000,The TEI component of the total project cost has increased by $503.605 million. This project is a PPP where the upfront capital investment has resulted in additional scope and whole of life benefits while remaining within the project's affordability benchmark. The increased TEI also reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University. The project's cashflow has been revised in line with the contracted project schedule.,Building a better hospital for Melbourne's inner west (Footscray),Existing,Health and human services,1999000000
Department of Health,2021,qtr 4 2025-26,tbc,tbc,The project's cashflow will be disclosed following further project planning and development.,Modernisation of metropolitan Melbourne Public Sector Residential Aged Care Services Strategy: Stage 3 Kingston Project (Cheltenham),Existing,Health and human services,135000000
Department of Health,2021,tbc,tbc,tbc,The TEI and estimated completion date will be disclosed following further project development and procurement processes. The TEI includes $50.000 million of Commonwealth Government funding under the Community Health and Hospitals Program agreement.,Barwon Women's and Children's Hospital (Geelong),New,Health and human services,500000000
Department of Health,2021,tbc,tbc,tbc,The TEI and estimated completion date will be disclosed following further project planning and development. Planning and detailed design is expected to be completed by 2024-25 with construction expected to take over 4 years.,New Melton Hospital (Cobblebank),New,Health and human services,900000000
"Department of Jobs, Skills, Industry and Regions",2021,qtr 4 2025-26,0,414000000,The TEI has increased by $121.735 million due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes Commonwealth Government funding.,Geelong City Deal (Geelong),Existing,"Culture, sport and community",414000000
Department of Justice and Community Safety,2021,qtr 4 2024-25,41000000,101000000,The prior reporting of this initiative was 'tbc' and is now disclosed following contract award.,Technology and resources to support Victoria's fines system (statewide),Existing,Justice and emergency services,142000000
Department of Justice and Community Safety,2021,qtr 4 2024-25,55000000,70000000,The TEI has increased by $4.661 million to include new funding and deliverables announced in the 2021-22 Budget for the Emergency Service Organisations Infrastructure initiative (statewide). The project's cashflow and estimated completion date have been revised in line with a revised project schedule.,Emergency services high‑priority infrastructure (statewide),Existing,Justice and emergency services,126000000
Department of Justice and Community Safety,2021,qtr 2 2022-23,81000000,107000000,The project's cashflow has been revised in line with a revised project schedule.,Women's prison system capacity (statewide),Existing,Justice and emergency services,189000000
Department of Justice and Community Safety,2021,qtr 2 2023-24,239000000,557000000,The TEI has decreased by $8.990 million due to a revised project scope. The project's cashflow and estimated completion date have been revised in line with a revised project schedule due to COVID-19 impacts.,Men's prison system capacity (statewde),Existing,Justice and emergency services,796000000
Department of Justice and Community Safety,2021,various,303000000,13000000,,Community Safety Statement (statewide),Existing,Justice and emergency services,315000000
Department of Justice and Community Safety,2021,qtr 1 2022-23,388000000,32000000,The project's cashflow has been revised in line with a revised project schedule.,New youth justice facility (metropolitan),Existing,Justice and emergency services,420000000
Department of Justice and Community Safety,2021,qtr 2 2022-23,999000000,119000000,The project name has changed from the Chisholm Road prison project that was published in the 2021-22 Budget. The project's cashflow has been revised in line with a revised project schedule.,Western Plains Correctional Centre (Lara),Existing,Justice and emergency services,1119000000
Department of Transport and Planning,2021,qtr 4 2025-26,0,101000000,The TEI includes $6.700 million of funding from Wyndham City Council.,Metropolitan road upgrades (metropolitan),New,Transport,101000000
Department of Transport and Planning,2021,qtr 4 2022-23,0,119000000,,Maintaining Victoria's road network (statewide),New,Transport,119000000
Department of Transport and Planning,2021,qtr 2 2022-23,0,121000000,The estimated completion date has been revised to quarter 2 2022-23 in line with a revised project schedule.,Acquisition of Bendigo GovHub (Bendigo),Existing,"Culture, sport and community",121000000
Department of Transport and Planning,2021,qtr 4 2025-26,0,207000000,The TEI excludes $14.851 million for early works announced in the 2021-22 Budget. The TEI includes $109.540 million of Commonwealth Government funding.,Mickleham Road Upgrade - Stage 1 (Greenvale),New,Transport,207000000
Department of Transport and Planning,2021,qtr 2 2022-23,1304000000,44000000,"The TEI has decreased by $43.765 million due to program savings. These works comprise a range of network improvements, such as station works, power, signalling and other infrastructure upgrades and future-proofing works, that are being delivered jointly with the Level Crossing Removal Program.",Metropolitan Network Modernisation Program (metropolitan various),Existing,Transport,1348000000
Department of Transport and Planning,2021,qtr 4 2023-24,2000000,115000000,,Metropolitan road and intersection upgrades (metropolitan various),Existing,Transport,117000000
Department of Transport and Planning,2021,qtr 2 2025-26,3142000000,5804000000,"This initiative was previously listed as 75 by 2025 (Level Crossing Removal). The TEI has increased by $2 536 million to include an additional 10 level crossing removals announced in the 2021-22 Budget Update, and decreased by $140.000 million due to program savings.",85 by 2025 (Level Crossing Removal) (metropolitan various),Existing,Transport,8946000000
Department of Transport and Planning,2021,tbc,3000000,97000000,The TEI includes $50.000 million of Commonwealth Government funding. The estimated completion date will be determined as planning on the project progresses.,Improving the Calder Freeway (Calder Park),Existing,Transport,100000000
Department of Transport and Planning,2021,qtr 2 2025-26,5834000000,4378000000,"The TEI has increased by $3.924 billion to reflect the settlement agreed between the State, Transurban and the Design and Construct contractor in December 2021 and excludes $56.47 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. The project is now expected to be completed by late 2025.",West Gate Tunnel (metropolitan various),Existing,Transport,10212000000
